105937aee006	docs/ship/runbooks/conductor-cloud.md	host scope disclaimer (Conductor cloud only)
557d72a24417	docs/ship/runbooks/conductor-cloud.md	host scope disclaimer (Conductor cloud only)
737c3628e0df	residual	no script enforces dispatch-layer ordering today; DEV-117 Non-goals: file a ticket per principle rather than fabricate a check
57898e58e8ab	docs/ship/runbooks/conductor-cloud.md	Conductor WAF blocks curl|tar bootstrap lines; image preinstalls kc-dev-flow/spacedock
482684f393ea	residual	the committed carrier-file argument fenced-dispatch.sh took (formerly at references/stations/fenced-dispatch.md) is removed under this PR; dispatch.sh sends a fixed first-officer boot message, not a hashed carrier file
c2e920c86922	residual	the (now-removed, DEV-157) per-task without-it check stripped only credential env vars; no script checks temp-HOME/no-network isolation, so DEV-117 Non-goals applies: file a ticket rather than fabricate a check
169c2a145c7a	kc-ship-flow/references/stations/e2e-cli.md	enforced by e2e-cli.sh
c8805a1fa6a1	kc-ship-flow/references/stations/e2e-cli.md	enforced by e2e-cli.sh
c30183386509	docs/ship/runbooks/conductor-cloud.md	pty limitation of Conductor cloud build workers
f348a6450677	residual	the Evidence block field grammar it described lived in the now-deleted evidence-block schema, removed under DEV-157 (ship-remove-duplicated-stations) along with the per-task acceptance check
d999717871ef	residual	the WITHOUT_IT_COMMAND field contract it described lived in the now-deleted evidence-block schema, removed under DEV-157 along with the per-task acceptance check
7eb63f3e0a29	residual	the per-task without-it check (formerly at references/stations/without-it.md) is removed under DEV-157; dev flow's own validation gate (fresh: true) is the acceptance now
f7d9f3314010	residual	the per-task disposition step's BLOCKING_CATEGORIES enforcement is removed under DEV-157; kc-pr-review running inside the cloud FO's own docs/dev validation stage carries this rule now
c0974575084d	residual	fenced-dispatch.sh (formerly at references/stations/fenced-dispatch.md) is removed under this PR, superseded by dispatch.sh
aa07537259c4	residual	fenced-dispatch.sh's intent/holder/create/adopt sequence (formerly at references/stations/fenced-dispatch.md) is removed under this PR; dispatch.sh's own claim fence supersedes it
6df22fa5c1de	residual	intent.sh reconcile (formerly at references/stations/intent.md) is removed under this PR, superseded by dispatch.sh's claim fence
a86300c3e55a	residual	intent.sh's lock and project-mismatch refusal (formerly at references/stations/intent.md) is removed under this PR, superseded by dispatch.sh's claim fence
fd20ac2b4540	docs/ship/runbooks/conductor-cloud.md	conductor CLI's own truncation/--after limitation
f8f92d5da8fb	residual	worker-transcript.sh (formerly at references/stations/worker-transcript.md) is removed under this PR, superseded by watch.sh's own conductor sql read
87bb44ce5e4c	residual	worker-transcript.sh (formerly at references/stations/worker-transcript.md) is removed under this PR, superseded by watch.sh's own conductor sql read
5aa826f86c91	kc-ship-flow/references/stations/e2e-gate.md	enforced by e2e-gate.py's slugify
d7132b42e5fa	kc-ship-flow/references/stations/e2e-gate.md	enforced by e2e-gate.py
2f1d305eccd5	kc-ship-flow/references/kernel.md	review-station shape principle
2dfa63236d83	residual	the per-task Draft-PR opener (formerly at references/stations/open-pr.md) is removed under DEV-157; Spacedock's pr-merge mod opens the Draft PR now
1eabf44ca884	residual	the per-task disposition step (formerly at references/stations/disposition.md) is removed under DEV-157; kc-pr-review running inside the cloud FO's own docs/dev validation stage carries this step now
d708e82924c7	kc-ship-flow/references/stations/uat-doc.md	enforced by uat-doc.py
8b322235e09a	residual	the per-task UAT-ready notifier (formerly at references/stations/notify.md) is removed under DEV-157; the UAT doc path is returned in chat and nothing has bitten without a channel post
fa3d90d879fa	residual	the per-task UAT-ready notifier (formerly at references/stations/notify.md) is removed under DEV-157; the First Officer sends the real UAT-ready message, no channel post has bitten without one
